"route_short_name";"direction_id";"trip_headsign";"num_stops";"total_trips";"trips_peak_am";"trips_midday";"trips_peak_pm"
"262";0;"262 Lions Bay- Brunswick";1;14;0.0;3.0;3.0
"262";1;"262 Caulfeild";1;14;0.0;3.0;3.0
"301";0;"301 Newton Exchange Express";1;50;0.0;6.0;9.0
"301";1;"301 Brighouse Station Express";1;52;0.0;6.0;10.0
"310";0;"310 Scottsdale";1;38;0.0;6.0;9.0
"310";0;"310 Scottsdale via Delta View";2;3;0.0;0.0;1.0
"310";1;"310 Ladner ";1;38;0.0;6.0;8.0
"310";1;"310 Ladner via Delta View";1;3;0.0;0.0;1.0
"311";0;"311 Bridgeport Station";1;13;0.0;0.0;0.0
"311";1;"311 Scottsdale";1;12;0.0;0.0;7.0
"312";0;"312 112 Street/To Scott Rd Station";1;48;0.0;6.0;7.0
"312";1;"312 112 Street/To Scottsdale";2;51;0.0;6.0;9.0
"314";0;"314 Surrey Central Station";2;27;0.0;3.0;5.0
"314";1;"314 Scott & 96 Ave";2;13;0.0;0.0;3.0
"314";1;"314 Sunbury";1;16;0.0;3.0;3.0
"316";0;"316 116 Street/To Surrey Central Station";1;34;0.0;6.0;6.0
"316";1;"316 116 Street/To Scottsdale";2;36;0.0;6.0;6.0
"319";0;"319 Scott Rd Station";2;101;0.0;12.0;16.0
"319";1;"319 Newton Exchange";1;99;0.0;12.0;16.0
"320";0;"320 Fleetwood";1;31;0.0;6.0;2.0
"320";0;"320 Langley Centre";1;46;0.0;6.0;12.0
"320";1;"320 Surrey Central Station";2;77;0.0;12.0;13.0
"321";0;" 321 King George Blvd/To Scott Rd Station";1;25;0.0;0.0;13.0
"321";0;"321 King George Blvd/To Scott Rd Station";3;23;0.0;0.0;0.0
"321";0;"321 King George Blvd/To Surrey Central";3;66;0.0;18.0;4.0
"321";1;"321 King George Blvd/To Newton Exchange";1;1;0.0;0.0;0.0
"321";1;"321 King George Blvd/To White Rock Centre";2;103;0.0;18.0;23.0
"321";1;"321 King George Blvd/To White Rock South";2;15;0.0;0.0;0.0
"322";0;"322 Newton Exchange";1;77;0.0;12.0;18.0
"322";1;"322 Scottsdale";1;77;0.0;12.0;16.0
"323";0;"323 128 St to Surrey Central";2;121;0.0;16.0;24.0
